requirement_id,category,requirement,implementation,test,evidence,status
P12-T01,task,"实现 Execution Adapter 和 Binance Testnet/模拟路径",src/aegisquant/execution/adapter.py,tests/execution/test_adapter_recovery.py,reports/execution/P12_ADAPTER_EVIDENCE.json,verified
P12-T02,task,"验证 Nautilus Binance Execution Adapter 并选择满足契约的实现",src/aegisquant/execution/nautilus_contract.py,tests/contract/test_p12_nautilus_execution.py,reports/compatibility/P12_NAUTILUS_EXECUTION.json,verified
P12-T03,task,"实现 OrderIntent 到 OrderCommand 的安全翻译",src/aegisquant/execution/commands.py,tests/execution/test_commands.py,reports/execution/P12_COMMAND_EVIDENCE.json,verified
P12-T04,task,"实现完整订单状态机和幂等 Client Order ID",src/aegisquant/execution/state_machine.py,tests/execution/test_state_machine.py,reports/execution/P12_STATE_REPLAY.json,verified
P12-T05,task,"实现账户 WebSocket、REST 快照、重连和对账",src/aegisquant/execution/accounts.py,tests/execution/test_accounts.py,reports/execution/P12_ACCOUNT_RECONCILIATION.json,verified
P12-T06,task,"实现 timeout 和 unknown state 恢复",src/aegisquant/execution/recovery.py,tests/execution/test_adapter_recovery.py,reports/execution/P12_RECOVERY_EVIDENCE.json,verified
P12-T07,task,"实现 partial fill、cancel/replace race 和 late event",src/aegisquant/execution/state_machine.py,tests/execution/test_state_machine.py,reports/execution/P12_STATE_REPLAY.json,verified
P12-T08,task,"实现动态 instrument rules 和量化",src/aegisquant/execution/rules.py,tests/execution/test_rules.py,reports/execution/P12_RULE_EVIDENCE.json,verified
P12-T09,task,"实现 maker/taker、time-bounded passive、TWAP 和 reduce-only",src/aegisquant/execution/algorithms.py,tests/execution/test_algorithms.py,reports/execution/P12_ALGORITHM_EVIDENCE.json,verified
P12-T10,task,"实现多腿 ExecutionGroup 和裸露上限",src/aegisquant/execution/groups.py,tests/execution/test_groups.py,reports/execution/P12_GROUP_EVIDENCE.json,verified
P12-T11,task,"实现限频优先级和背压",src/aegisquant/execution/rate_limit.py,tests/execution/test_rate_limit.py,reports/execution/P12_RATE_LIMIT_EVIDENCE.json,verified
P12-T12,task,"将 Fill 原子写入账本和 Outbox",src/aegisquant/execution/atomic.py,tests/integration/test_p12_atomic_fill.py,reports/execution/P12_ATOMIC_FILL_EVIDENCE.json,verified
P12-T13,task,"实现启动、优雅关闭和崩溃恢复",src/aegisquant/execution/lifecycle.py,tests/execution/test_lifecycle.py,reports/execution/P12_LIFECYCLE_EVIDENCE.json,verified
P12-T14,task,"建立 OKX、Bybit、Deribit 执行契约边界",src/aegisquant/execution/venues.py,tests/contract/test_p12_secondary_venues.py,reports/execution/P12_ADAPTER_EVIDENCE.json,verified
P12-T15,task,"建立 Testnet/模拟端到端和故障测试",src/aegisquant/execution/simulator.py,tests/integration/test_p12_execution_e2e.py,reports/execution/P12_SIMULATED_E2E.json,verified
P12-A01,acceptance,"Testnet 完成提交、部分成交、撤单、重连和重启恢复",src/aegisquant/execution/adapter.py,tests/integration/test_p12_execution_e2e.py,reports/execution/P12_TESTNET_CAPABILITY.json,blocked_external_input
P12-A02,acceptance,"超时后不重复经济订单",src/aegisquant/execution/recovery.py,tests/execution/test_adapter_recovery.py,reports/execution/P12_RECOVERY_EVIDENCE.json,in_progress
P12-A03,acceptance,"交易所和账本对账一致",src/aegisquant/execution/atomic.py,tests/integration/test_p12_atomic_fill.py,reports/execution/P12_ATOMIC_FILL_EVIDENCE.json,in_progress
P12-A04,acceptance,"规则变化和非法精度在本地被拒绝",src/aegisquant/execution/rules.py,tests/execution/test_rules.py,reports/execution/P12_RULE_EVIDENCE.json,in_progress
P12-A05,acceptance,"风险拒绝的意图无法到达 Adapter",src/aegisquant/execution/commands.py,tests/execution/test_commands.py,reports/execution/P12_COMMAND_EVIDENCE.json,in_progress
P12-A06,acceptance,"无 Live 域名、密钥或账户可用",src/aegisquant/execution/adapter.py,tests/security/test_p12_testnet_only.py,reports/execution/P12_TESTNET_CAPABILITY.json,in_progress
P12-A07,acceptance,"Chaos 场景不产生未知资金事实",src/aegisquant/execution/atomic.py,tests/chaos/test_p12_execution_failures.py,reports/execution/P12_ATOMIC_FILL_EVIDENCE.json,in_progress
