requirement_id,phase,requirement,implementation,test,evidence,historical_status,intrinsic_result,formal_result,reason_code,notes
P05-A01,P05,所有分录借贷平衡,src/aegisquant/accounting/ledger.py,tests/property/test_accounting_properties.py,reports/data/P05_ACCOUNTING_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P05-A02,P05,同一 Fill 重放只产生一次经济事实,src/aegisquant/accounting/ledger.py,tests/p05/test_ledger_core.py,reports/data/P05_ACCOUNTING_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P05-A03,P05,随机成交序列可重建仓位和权益,src/aegisquant/accounting/ledger.py,tests/property/test_accounting_properties.py,reports/data/P05_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P05-A04,P05,本地与模拟交易所差异可分类且不静默修正,src/aegisquant/accounting/reconciliation.py,tests/p05/test_valuation_reconciliation.py,reports/data/P05_RECONCILIATION_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P05-A05,P05,账本事件重建哈希一致,src/aegisquant/accounting/snapshots.py,tests/p05/test_snapshots.py,reports/data/P05_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P05-A06,P05,浮点数不能进入会计 API,src/aegisquant/accounting/models.py,tests/p05/test_ledger_core.py,reports/data/P05_ACCOUNTING_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A01,P06,零成本即时成交双引擎一致,src/aegisquant/backtest/vector.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_CONSISTENCY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A02,P06,成本和资金费率通过手算 Golden Case,src/aegisquant/backtest/costs.py,tests/p06/test_costs_margin.py,reports/data/P06_GOLDEN_RESULTS.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A03,P06,event replay 多次结果相同,src/aegisquant/backtest/engine.py,tests/p06/test_vector_event_consistency.py,reports/data/P06_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A04,P06,历史规则变化影响订单合法性,src/aegisquant/backtest/rules.py,tests/p06/test_rules_stress.py,reports/data/P06_RULES_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A05,P06,故障和部分成交场景保持账本平衡,src/aegisquant/backtest/engine.py,tests/p06/test_fills_failures.py,reports/data/P06_FAILURE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P06-A06,P06,回测输出包含订单成交帐本和复现命令,src/aegisquant/backtest/artifacts.py,tests/p06/test_artifacts.py,reports/backtests/p06-golden/reproduction_command.txt,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A01,P07,随机 shuffle 时间切分在代码层被阻止,src/aegisquant/research/validation/splits.py,tests/research/test_splits.py,reports/data/P07_VALIDATION_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A02,P07,未来特征和标签泄漏测试捕获故意注入错误,src/aegisquant/research/validation/leakage.py,tests/property/pit/test_leakage.py,reports/data/P07_LEAKAGE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A03,P07,所有成功、失败和异常试验可查询,src/aegisquant/research/experiments/ledger.py,tests/research/test_experiments_scoreboard.py,reports/data/P07_EXPERIMENT_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A04,P07,简单策略净收益与手算独立实现一致,src/aegisquant/research/baselines.py,tests/research/test_strategy_baselines.py,reports/data/P07_BASELINE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A05,P07,报告明确 gross 与 net 且不用单一 Sharpe 排名,src/aegisquant/research/reports/scoreboard.py,tests/research/test_experiments_scoreboard.py,reports/research/P07/BASELINE_SCOREBOARD.md,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P07-A06,P07,最终 holdout 在模型和参数冻结前不可读,src/aegisquant/research/validation/holdout.py,tests/research/test_holdout.py,reports/data/P07_HOLDOUT_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A01,P08,复杂模型不因类别自动获得优势且可能被淘汰,src/aegisquant/research/council.py,tests/research/test_model_council.py,reports/data/P08_MODEL_COUNCIL_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A02,P08,所有模型使用相同 split、成本和搜索预算报告,src/aegisquant/research/council.py,tests/research/test_model_council.py,reports/data/P08_MODEL_COUNCIL_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A03,P08,AI 输出无效 schema 时不会启动实验,src/aegisquant/research/proposals.py,tests/security/prompt_safety/test_proposal_boundaries.py,reports/data/P08_PROMPT_SAFETY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A04,P08,外部文本提示词不能获得工具或秘密,src/aegisquant/intelligence/rag.py,tests/security/prompt_safety/test_prompt_firewall.py,reports/data/P08_PROMPT_SAFETY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A05,P08,模型能因低置信度或高分歧输出 abstain,src/aegisquant/research/models/uncertainty.py,tests/research/test_uncertainty.py,reports/data/P08_UNCERTAINTY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A06,P08,基础模型权重和许可证具有哈希与记录,src/aegisquant/research/models/foundation.py,tests/research/test_foundation_plugins.py,reports/data/P08_FOUNDATION_MODEL_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P08-A07,P08,4070 Ti 资源上限得到遵守且 OOM 可恢复,src/aegisquant/research/budgets.py,tests/research/test_resource_budgets.py,reports/data/P08_RESOURCE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A01,P09,未经静态审计的源码无法执行,src/aegisquant/intelligence/static_analysis/,tests/security/static_analysis/,reports/data/P09_STATIC_ANALYSIS_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A02,P09,每个结构化规则链接证据或明确标记缺失,src/aegisquant/intelligence/static_analysis/extraction.py,tests/intelligence/test_strategy_ir.py,reports/data/P09_STRATEGY_IR_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A03,P09,相同策略复制和改名可被聚类,src/aegisquant/intelligence/static_analysis/dedupe.py,tests/intelligence/test_dedupe.py,reports/data/P09_DEDUPE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A04,P09,迁移策略有新的实现和新的统一验证结果,src/aegisquant/intelligence/static_analysis/translation.py,tests/intelligence/test_translation.py,reports/data/P09_TRANSLATION_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A05,P09,权利未知内容不进入公开工件,src/aegisquant/intelligence/static_analysis/models.py,tests/intelligence/test_knowledge_models.py,reports/data/P09_RIGHTS_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P09-A06,P09,浏览器扩展无后台抓取、秘密导出或远程上报,reports/phases/P09/PLAN.md,tests/p09/test_phase_evidence.py,reports/phases/P09/RISKS.md,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A01,P10,ALFRED 不同 vintage 可重放且无未来修订泄露,src/aegisquant/intelligence/world/sources.py,tests/intelligence/world/test_macro_onchain_sources.py,reports/data/P10_SOURCE_CONTRACT_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A02,P10,Dune 查询、SQL 版本、参数与结果可复现,src/aegisquant/intelligence/world/sources.py,tests/intelligence/world/test_macro_onchain_sources.py,reports/data/P10_SOURCE_CONTRACT_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A03,P10,更新删除保留首版且互动快照时点一致,src/aegisquant/intelligence/world/replay.py,tests/intelligence/world/test_event_replay.py,reports/data/P10_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A04,P10,高影响簇可追踪证据、政策、模型与冲突,src/aegisquant/intelligence/world/events.py,tests/intelligence/world/test_event_graph.py,reports/data/P10_EVENT_GRAPH_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A05,P10,一百条转发只计一个独立来源家族,src/aegisquant/intelligence/world/events.py,tests/intelligence/world/test_credibility.py,reports/data/P10_CREDIBILITY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A06,P10,同预算 OOS 四视角报告正负结果,src/aegisquant/intelligence/world/fusion.py,tests/intelligence/world/test_impact_fusion.py,reports/data/P10_ABLATION_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A07,P10,延迟压力、未来互动、前置趋势和安慰剂检查真实执行,src/aegisquant/intelligence/world/replay.py,tests/intelligence/world/test_event_replay.py,reports/data/P10_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A08,P10,来源或 LLM 不可用时安全降级,src/aegisquant/intelligence/world/sources.py,tests/intelligence/world/test_social_source_contracts.py,reports/data/P10_SOCIAL_SOURCE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A09,P10,未知权利、Reddit 与 Discord 默认禁用,src/aegisquant/intelligence/world/models.py,tests/intelligence/world/test_source_policy.py,reports/data/P10_SOURCE_POLICY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P10-A10,P10,单条社交帖子与 LLM 均不能生成订单,src/aegisquant/intelligence/world/events.py,tests/intelligence/world/test_committee_paths.py,reports/data/P10_COMMITTEE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
